name,handedness,height,weight,avg,HR,cat
Bobby Brown,B,74,190,0.245,26,['excellent']
Tom Hutton,L,71,180,0.248,22,['excellent']
Ron Hodges,L,73,185,0.24,19,['excellent']
Rich Chiles,L,71,170,0.254,6,['good']
Tom Paciorek,R,76,215,0.282,86,['excellent']
Gary Woods,R,74,185,0.243,13,['good']
Bob Montgomery,R,73,195,0.258,23,['excellent']
Jeff Burroughs,R,73,200,0.261,240,['excellent']
Rusty Staub,L,74,190,0.27899999999999997,292,['excellent']
Jim Norris,L,70,175,0.264,7,['good']
Oscar Gamble,L,71,160,0.265,200,['excellent']
Bob Kammeyer,R,76,210,0.0,0,['poor']
George Vukovich,L,72,198,0.268,27,['excellent']
Joe Pactwa,L,71,185,0.0,0,['poor']
Craig Reynolds,L,73,175,0.256,42,['excellent']
Paul Blair,R,72,168,0.25,134,['excellent']
Al Cowens,R,73,197,0.27,108,['excellent']
Al Oliver,L,72,195,0.303,219,['excellent']
Dave Hilton,R,71,191,0.213,6,['poor']
Luis Alvarado,R,69,162,0.214,5,['poor']
Larry Parrish,R,75,190,0.263,256,['excellent']
Woodie Fryman,R,75,197,0.138,2,['poor']
Bob Randall,R,74,175,0.257,1,['good']
Jim Pankovits,R,70,170,0.25,9,['good']
Sherman Corbett,L,76,205,0.0,0,['poor']
Carmen Fanzone,R,72,200,0.22399999999999998,20,['average']
Gary Allenson,R,71,185,0.221,19,['average']
Milt May,L,72,190,0.263,77,['excellent']
Mike Vail,R,73,180,0.27899999999999997,34,['excellent']
Nick Esasky,R,75,200,0.25,122,['excellent']
Jim Nettles,L,72,186,0.22,16,['average']
Lafayette Currence,B,71,175,0.0,0,['poor']
Chris Cannizzaro,R,72,190,0.235,18,['average']
Larry Biittner,L,74,205,0.273,29,['excellent']
John Pawlowski,R,74,175,0.0,0,['poor']
Mel Stottlemyre,R,73,178,0.16,7,['poor']
Jack Hardy,R,74,175,0.0,0,['poor']
Ron Musselman,R,74,185,0.0,0,['poor']
Roy Smalley,B,73,185,0.257,163,['excellent']
Tony Chevez,R,71,177,0.0,0,['poor']
Andy Messersmith,R,73,200,0.17,5,['poor']
Richie Zisk,R,73,200,0.287,207,['excellent']
Dave Chalk,R,70,175,0.252,15,['excellent']
Don Baylor,R,73,190,0.26,338,['excellent']
John Vukovich,R,73,187,0.161,6,['poor']
Danny Thompson,R,72,183,0.248,15,['excellent']
Joe Simpson,L,75,175,0.242,9,['good']
